date,sleepCore,sleepDeep,sleepREM,sleepUnspecified,awake,sleep_sum,sleep_efficiency,deep_rem_ratio,deep_rem_score,sleep_quality,mean_hrv,stepCount,sportTime
2022-10-04,222.0,73.0,101.5,0.0,1.5,398.0,0.9962311557788944,0.4401008827238335,0.8003362757461118,91.78732037657814,36.06095,12128,47.0
2022-10-05,291.0,53.5,109.5,0.0,3.0,457.0,0.9934354485776805,0.3590308370044053,0.5301027900146843,80.8102385152482,37.28097272727273,8795,27.0
2022-10-06,226.5,76.0,108.0,0.0,10.0,420.5,0.976218787158145,0.4482338611449452,0.8274462038164839,91.67097538214806,46.27108,12526,45.0
2022-10-08,403.0,44.5,147.5,0.0,26.5,621.5,0.9573612228479486,0.3226890756302521,0.4089635854341737,73.80021678824387,43.61835833333333,3911,1.0
2022-10-09,371.5,36.5,126.5,0.0,7.0,541.5,0.987072945521699,0.3049579045837231,0.34985968194574374,73.2187640091317,57.311775000000004,8104,15.0
2022-10-10,341.0,35.0,137.5,0.0,5.5,519.0,0.9894026974951831,0.3359298928919182,0.4530996429730607,77.48814756863341,49.602583333333335,8191,20.0
2022-10-11,327.5,47.0,101.5,0.0,4.5,480.5,0.9906347554630593,0.3119747899159664,0.37324929971988796,74.36805731657908,32.09115,11237,43.0
2022-10-12,375.5,61.5,139.5,0.0,2.5,579.0,0.9956822107081175,0.34865568083261056,0.49551893610870185,79.56169008683511,32.520627272727275,4193,0.0
2022-10-13,306.0,42.0,109.5,0.0,3.5,461.0,0.9924078091106291,0.33114754098360655,0.4371584699453551,77.03080734445194,33.036936363636364,11702,54.0
2022-10-14,335.5,60.5,118.5,0.0,14.5,529.0,0.9725897920604915,0.34791059280855197,0.49303530936183987,78.07679989810308,40.531090909090906,4592,0.0
2022-10-16,341.5,67.5,132.5,0.0,9.5,551.0,0.9827586206896551,0.36934441366574333,0.5644813788858111,81.54477239681175,30.84416,8002,0.0
2022-10-18,285.5,44.5,105.5,0.0,3.0,438.5,0.9931584948688712,0.34443168771526983,0.4814389590508994,78.84706805416825,31.288525000000003,9040,38.0
2022-10-19,361.5,61.5,126.5,0.0,10.0,559.5,0.9821268990169795,0.3421292083712466,0.47376402790415534,77.87817505718498,27.898469999999996,3539,0.0
2022-10-21,240.0,58.0,72.5,0.0,7.5,378.0,0.9801587301587301,0.3522267206477733,0.5074224021592443,79.10641989589358,31.730700000000002,3846,1.0
2022-10-25,243.0,69.0,132.5,0.0,2.0,446.5,0.9955207166853304,0.453318335208099,0.8443944506936634,93.50702102886636,31.485458333333337,12622,38.0
2022-10-26,283.5,31.0,62.5,0.0,11.0,388.0,0.9716494845360825,0.2480106100795756,0.1600353669319186,64.70038374944168,31.338150000000002,11382,21.0
2022-11-01,299.0,73.0,93.0,0.0,6.5,471.5,0.9862142099681867,0.35698924731182796,0.5232974910394266,80.10475223966826,38.260133333333336,10179,33.0
2022-11-02,274.0,45.5,96.5,0.0,10.5,426.5,0.9753810082063306,0.34134615384615385,0.47115384615384615,77.36901433853369,32.94803,10292,58.0
2022-11-03,284.5,44.5,99.0,0.0,13.0,441.0,0.9705215419501134,0.3352803738317757,0.4509345794392524,76.2686756945769,34.77210909090909,8015,17.0
2022-11-07,344.0,41.5,116.5,0.0,9.0,511.0,0.9823874755381604,0.3147410358565737,0.38247011952191234,74.24205331316612,37.99086666666667,4877,13.0
2022-11-08,337.0,66.5,121.5,0.0,12.5,537.5,0.9767441860465116,0.3580952380952381,0.5269841269841269,79.68401624215576,31.913272727272727,5575,15.0
2022-11-13,308.5,33.5,130.5,0.0,13.5,486.0,0.9722222222222222,0.3470899470899471,0.49029982363315705,77.9453262786596,32.63210909090909,5068,15.0
2022-11-14,235.5,58.5,75.0,0.0,6.5,375.5,0.9826897470039947,0.3617886178861789,0.5392953929539296,80.53320053839687,34.02369230769231,16823,65.0
2022-11-15,256.5,55.5,104.5,0.0,6.0,422.5,0.9857988165680474,0.38415366146458585,0.6138455382152862,83.7017505226943,29.32773636363636,12221,61.0
2022-11-16,296.5,35.5,126.0,0.0,5.5,463.5,0.9881337648327939,0.35262008733624456,0.5087336244541485,79.63737086813357,23.561899999999998,4053,14.0
2022-11-17,329.0,61.5,110.5,0.0,5.0,506.0,0.9901185770750988,0.34331337325349304,0.4777112441783101,78.51556439163832,33.469609090909096,2284,0.0
2022-11-18,284.5,69.5,109.5,0.0,11.0,474.5,0.9768177028451,0.3861920172599784,0.6206400575332615,83.43466447203647,34.779225,3658,14.0
2022-11-21,268.0,58.5,98.0,0.0,4.0,428.5,0.9906651108518086,0.36866902237926974,0.5622300745975658,81.92910963501116,30.765863636363633,4953,16.0
2022-11-22,257.5,62.5,111.5,0.0,2.5,434.0,0.9942396313364056,0.40324449594438005,0.6774816531479335,86.75364400610167,33.55862727272727,4879,16.0
2022-11-24,305.0,68.0,109.5,0.0,26.0,508.5,0.9488692232055064,0.36787564766839376,0.5595854922279792,79.31557308144954,36.36454,4852,18.0
2022-11-27,252.0,59.0,120.0,0.0,5.5,436.5,0.9873997709049256,0.41531322505800466,0.7177107501933488,87.95241626202949,38.58532,14110,45.0
2022-11-29,283.0,42.0,137.5,0.0,5.0,467.5,0.9893048128342246,0.3881081081081081,0.627027027027027,84.43936985113454,38.471675,12569,59.0
2022-11-30,328.5,50.0,104.0,0.0,16.5,499.0,0.966933867735471,0.31917098445595854,0.3972366148531951,73.90549665825606,34.8748625,2435,1.0
2022-12-01,272.5,53.0,103.5,0.0,7.0,436.0,0.9839449541284404,0.36480186480186483,0.5493395493395494,81.0102792212884,44.53839166666666,14501,70.0
2022-12-02,231.0,74.0,102.5,0.0,5.0,412.5,0.9878787878787879,0.4331288343558282,0.7770961145194274,90.35657185350438,33.85819166666666,10844,59.0
2022-12-03,265.5,80.5,101.0,0.0,28.0,475.0,0.9410526315789474,0.40604026845637586,0.6868008948545862,83.93519368892028,36.15829,5413,11.0
2022-12-05,274.5,38.5,119.0,0.0,4.0,436.0,0.9908256880733946,0.3645833333333333,0.548611111111111,81.39398572884812,39.47249090909091,2691,0.0
2022-12-06,245.0,38.5,103.5,0.0,3.5,390.5,0.9910371318822023,0.3669250645994832,0.5564168819982773,81.71890319286324,40.857569999999996,9952,45.0
2022-12-08,272.0,61.5,111.0,0.0,6.5,451.0,0.9855875831485588,0.3880764904386952,0.6269216347956507,84.21212038073955,41.06560909090909,14145,50.0
2022-12-09,334.0,46.0,128.5,0.0,5.5,514.0,0.9892996108949417,0.34316617502458213,0.47722058341527374,78.44679999030745,35.519763636363635,5138,14.0
2022-12-10,255.5,67.5,106.0,0.0,10.0,439.0,0.9772209567198178,0.40442890442890445,0.6814296814296815,85.89044466037632,33.86643636363636,20920,61.0
2022-12-11,266.5,73.0,98.0,0.0,10.0,447.5,0.9776536312849162,0.39085714285714285,0.6361904761904762,84.10683692471402,49.34235454545455,3995,15.0
2022-12-12,218.0,64.0,92.0,0.0,2.0,376.0,0.9946808510638298,0.41711229946524064,0.7237076648841355,88.62915765919522,36.621719999999996,14709,40.0
2022-12-13,221.0,66.0,76.0,0.0,4.5,367.5,0.9877551020408163,0.39118457300275483,0.6372819100091828,84.75658252281629,30.920325000000002,5115,20.0
2022-12-15,337.5,84.0,156.5,0.0,31.5,609.5,0.948318293683347,0.41608996539792387,0.7202998846597463,85.71109300739066,37.8791,7007,22.0
2022-12-16,262.5,57.0,95.0,0.0,15.5,430.0,0.963953488372093,0.36670687575392036,0.5556895858464012,80.06479273618162,42.94014166666667,2238,0.0
2022-12-17,298.0,43.5,98.0,0.0,5.5,445.0,0.9876404494382023,0.32195676905574516,0.4065225635191505,75.51932950705816,34.1954,4361,7.0
2022-12-19,316.0,49.5,122.0,0.0,6.5,494.0,0.9868421052631579,0.3517948717948718,0.505982905982906,79.4498425551057,36.44937,4923,21.0
2022-12-20,307.0,52.5,104.5,0.0,1.5,465.5,0.9967776584317938,0.33836206896551724,0.4612068965517241,78.25493536797659,37.16077272727273,6173,22.0
2022-12-21,194.0,41.5,52.0,0.0,4.5,292.0,0.9845890410958904,0.32521739130434785,0.4173913043478261,75.77099463966647,32.133575,16110,43.0
2022-12-22,255.0,35.0,89.0,0.0,13.5,392.5,0.9656050955414013,0.32717678100263853,0.4239226033421284,74.8932098661692,29.432990909090908,15810,40.0
